a,aa_after,bg_after,bg_before,chunk,cut_before,cut_next,delta,executed,k,micro,occ_mid,reward_exec,reward_raw,shielded,tt_after
4,17.652040651718018,0.22,0.22,1,250.0,252.0,2.0,,2,8,0.00139999995008111,,0.011033021309653057,,93.93223500155425
2,17.966607517341508,0.22,0.22,1,250.0,250.0,0.0,,3,8,0.00139999995008111,,0.21252424187128027,,94.1477567091493
1,18.140022584287788,0.24,0.22,1,250.0,249.0,-1.0,,4,8,0.00139999995008111,,0.9614264548670522,,94.2866024246192
3,17.813356993063397,0.22,0.22,1,250.0,251.0,1.0,,5,8,0.00139999995008111,,0.11174525092530416,,94.02963423479432
4,17.652040651718018,0.22,0.22,1,250.0,252.0,2.0,,6,8,0.00139999995008111,,0.011033021309653057,,93.93223500155425
0,18.301338925633168,0.24,0.22,1,250.0,248.0,-2.0,,7,8,0.00139999995008111,,0.8622049988542712,,94.40058025075122
1,18.140022584287788,0.24,0.22,1,250.0,249.0,-1.0,,8,8,0.00139999995008111,,0.9614264548670522,,94.2866024246192
1,18.140022584287788,0.24,0.22,1,250.0,249.0,-1.0,,9,8,0.00139999995008111,,0.9614264548670522,,94.2866024246192
4,17.652040651718018,0.22,0.22,1,250.0,252.0,2.0,,10,8,0.00139999995008111,,0.011033021309653057,,93.93223500155425
2,17.966607517341508,0.22,0.22,1,250.0,250.0,0.0,,11,8,0.00139999995008111,,0.21252424187128027,,94.1477567091493
0,18.301338925633168,0.24,0.22,1,250.0,248.0,-2.0,,12,8,0.00139999995008111,,0.8622049988542712,,94.40058025075122
4,17.652040651718018,0.22,0.22,1,250.0,252.0,2.0,,13,8,0.00139999995008111,,0.011033021309653057,,93.93223500155425
3,17.813356993063397,0.22,0.22,1,250.0,251.0,1.0,,14,8,0.00139999995008111,,0.11174525092530416,,94.02963423479432
3,17.813356993063397,0.22,0.22,1,250.0,251.0,1.0,,15,8,0.00139999995008111,,0.11174525092530416,,94.02963423479432
1,18.301338925633168,0.24,0.22,1,250.0,248.0,-2.0,1,4,8,0.00139999995008111,0.8622049988542712,0.9614264369010925,1,94.40058025075122
