a,aa_after,bg_after,bg_before,chunk,cut_before,cut_next,delta,executed,k,micro,occ_mid,reward_exec,reward_raw,shielded,tt_after
2,21.18275192584706,0.29,0.29,36,209.0,209.0,0.0,,0,183,0.0010000000474974513,,-0.16994266930036006,,96.92295671198625
1,21.37690236111981,0.3,0.29,36,209.0,208.0,-1.0,,1,183,0.0010000000474974513,,-0.7172043137337687,,97.0104703859978
4,20.74278198784994,0.28,0.29,36,209.0,211.0,2.0,,2,183,0.0010000000474974513,,-0.01942270294100635,,96.77293327082357
4,20.74278198784994,0.28,0.29,36,209.0,211.0,2.0,,3,183,0.0010000000474974513,,-0.01942270294100635,,96.77293327082357
1,21.37690236111981,0.3,0.29,36,209.0,208.0,-1.0,,4,183,0.0010000000474974513,,-0.7172043137337687,,97.0104703859978
3,20.98077284399073,0.28,0.29,36,209.0,210.0,1.0,,5,183,0.0010000000474974513,,0.08135332565360051,,96.8479449914049
4,20.74278198784994,0.28,0.29,36,209.0,211.0,2.0,,6,183,0.0010000000474974513,,-0.01942270294100635,,96.77293327082357
2,21.18275192584706,0.29,0.29,36,209.0,209.0,0.0,,7,183,0.0010000000474974513,,-0.16994266930036006,,96.92295671198625
1,21.37690236111981,0.3,0.29,36,209.0,208.0,-1.0,,8,183,0.0010000000474974513,,-0.7172043137337687,,97.0104703859978
4,20.74278198784994,0.28,0.29,36,209.0,211.0,2.0,,9,183,0.0010000000474974513,,-0.01942270294100635,,96.77293327082357
0,21.62585332247761,0.3,0.29,36,209.0,207.0,-2.0,,10,183,0.0010000000474974513,,-0.8163813610218673,,97.09173308329426
4,20.74278198784994,0.28,0.29,36,209.0,211.0,2.0,,11,183,0.0010000000474974513,,-0.01942270294100635,,96.77293327082357
2,21.18275192584706,0.29,0.29,36,209.0,209.0,0.0,,12,183,0.0010000000474974513,,-0.16994266930036006,,96.92295671198625
2,21.18275192584706,0.29,0.29,36,209.0,209.0,0.0,,13,183,0.0010000000474974513,,-0.16994266930036006,,96.92295671198625
4,20.74278198784994,0.28,0.29,36,209.0,211.0,2.0,,14,183,0.0010000000474974513,,-0.01942270294100635,,96.77293327082357
2,21.18275192584706,0.29,0.29,36,209.0,209.0,0.0,,15,183,0.0010000000474974513,,-0.16994266930036006,,96.92295671198625
3,20.74278198784994,0.28,0.29,36,209.0,211.0,2.0,1,5,183,0.0010000000474974513,-0.01942270294100635,0.0813533291220665,1,96.77293327082357
1,20.98077284399073,0.21,0.19,36,211.0,210.0,-1.0,,0,184,0.0015999999595806003,,-0.46264667434639906,,96.8479449914049
2,20.74278198784994,0.19,0.19,36,211.0,211.0,0.0,,1,184,0.0015999999595806003,,-0.9714227029410056,,96.77293327082357
2,20.74278198784994,0.19,0.19,36,211.0,211.0,0.0,,2,184,0.0015999999595806003,,-0.9714227029410056,,96.77293327082357
0,21.18275192584706,0.21,0.19,36,211.0,209.0,-2.0,,3,184,0.0015999999595806003,,-0.561942669300361,,96.92295671198625
0,21.18275192584706,0.21,0.19,36,211.0,209.0,-2.0,,4,184,0.0015999999595806003,,-0.561942669300361,,96.92295671198625
0,21.18275192584706,0.21,0.19,36,211.0,209.0,-2.0,,5,184,0.0015999999595806003,,-0.561942669300361,,96.92295671198625
3,20.54236863531033,0.19,0.19,36,211.0,212.0,1.0,,6,184,0.0015999999595806003,,-1.0721142000633377,,96.70026566651039
1,20.98077284399073,0.21,0.19,36,211.0,210.0,-1.0,,7,184,0.0015999999595806003,,-0.46264667434639906,,96.8479449914049
4,20.341955282770716,0.18,0.19,36,211.0,213.0,2.0,,8,184,0.0015999999595806003,,-1.6208869598829665,,96.6072823878731
3,20.54236863531033,0.19,0.19,36,211.0,212.0,1.0,,9,184,0.0015999999595806003,,-1.0721142000633377,,96.70026566651039
4,20.341955282770716,0.18,0.19,36,211.0,213.0,2.0,,10,184,0.0015999999595806003,,-1.6208869598829665,,96.6072823878731
4,20.341955282770716,0.18,0.19,36,211.0,213.0,2.0,,11,184,0.0015999999595806003,,-1.6208869598829665,,96.6072823878731
4,20.341955282770716,0.18,0.19,36,211.0,213.0,2.0,,12,184,0.0015999999595806003,,-1.6208869598829665,,96.6072823878731
4,20.341955282770716,0.18,0.19,36,211.0,213.0,2.0,,13,184,0.0015999999595806003,,-1.6208869598829665,,96.6072823878731
2,20.74278198784994,0.19,0.19,36,211.0,211.0,0.0,,14,184,0.0015999999595806003,,-0.9714227029410056,,96.77293327082357
1,20.98077284399073,0.21,0.19,36,211.0,210.0,-1.0,,15,184,0.0015999999595806003,,-0.46264667434639906,,96.8479449914049
1,21.18275192584706,0.21,0.19,36,211.0,209.0,-2.0,1,0,184,0.0015999999595806003,-0.561942669300361,-0.4626466631889343,1,96.92295671198625
1,21.37690236111981,0.32,0.31,37,209.0,208.0,-1.0,,0,185,0.0010000000474974513,,-1.5172039399958506,,97.01056382047756
2,21.18275192584706,0.31,0.31,37,209.0,209.0,0.0,,1,185,0.0010000000474974513,,-0.9699422846218648,,96.9230528816102
4,20.74278198784994,0.29,0.31,37,209.0,211.0,2.0,,2,185,0.0010000000474974513,,-0.563422299507235,,96.77303412926616
3,20.98077284399073,0.3,0.31,37,209.0,210.0,1.0,,3,185,0.0010000000474974513,,-0.7186462802902654,,96.84804350543818
3,20.98077284399073,0.3,0.31,37,209.0,210.0,1.0,,4,185,0.0010000000474974513,,-0.7186462802902654,,96.84804350543818
1,21.37690236111981,0.32,0.31,37,209.0,208.0,-1.0,,5,185,0.0010000000474974513,,-1.5172039399958506,,97.01056382047756
0,21.62585332247761,0.32,0.31,37,209.0,207.0,-2.0,,6,185,0.0010000000474974513,,-1.616380997443056,,97.09182397799725
3,20.98077284399073,0.3,0.31,37,209.0,210.0,1.0,,7,185,0.0010000000474974513,,-0.7186462802902654,,96.84804350543818
2,21.18275192584706,0.31,0.31,37,209.0,209.0,0.0,,8,185,0.0010000000474974513,,-0.9699422846218648,,96.9230528816102
0,21.62585332247761,0.32,0.31,37,209.0,207.0,-2.0,,9,185,0.0010000000474974513,,-1.616380997443056,,97.09182397799725
1,21.37690236111981,0.32,0.31,37,209.0,208.0,-1.0,,10,185,0.0010000000474974513,,-1.5172039399958506,,97.01056382047756
0,21.62585332247761,0.32,0.31,37,209.0,207.0,-2.0,,11,185,0.0010000000474974513,,-1.616380997443056,,97.09182397799725
2,21.18275192584706,0.31,0.31,37,209.0,209.0,0.0,,12,185,0.0010000000474974513,,-0.9699422846218648,,96.9230528816102
0,21.62585332247761,0.32,0.31,37,209.0,207.0,-2.0,,13,185,0.0010000000474974513,,-1.616380997443056,,97.09182397799725
2,21.18275192584706,0.31,0.31,37,209.0,209.0,0.0,,14,185,0.0010000000474974513,,-0.9699422846218648,,96.9230528816102
3,20.98077284399073,0.3,0.31,37,209.0,210.0,1.0,,15,185,0.0010000000474974513,,-0.7186462802902654,,96.84804350543818
4,20.74278198784994,0.29,0.31,37,209.0,211.0,2.0,1,2,185,0.0010000000474974513,-0.563422299507235,-0.5634223222732544,1,96.77303412926616
0,21.18275192584706,0.28,0.26,37,211.0,209.0,-2.0,,0,186,0.00139999995008111,,-0.16194228462186638,,96.9230528816102
0,21.18275192584706,0.28,0.26,37,211.0,209.0,-2.0,,1,186,0.00139999995008111,,-0.16194228462186638,,96.9230528816102
3,20.54236863531033,0.26,0.26,37,211.0,212.0,1.0,,2,186,0.00139999995008111,,1.1678862124550184,,96.70036879609951
2,20.74278198784994,0.26,0.26,37,211.0,211.0,0.0,,3,186,0.00139999995008111,,1.2685777004927643,,96.77303412926616
4,20.341955282770716,0.26,0.26,37,211.0,213.0,2.0,,4,186,0.00139999995008111,,1.067113464259753,,96.60738842355295
2,20.74278198784994,0.26,0.26,37,211.0,211.0,0.0,,5,186,0.00139999995008111,,1.2685777004927643,,96.77303412926616
4,20.341955282770716,0.26,0.26,37,211.0,213.0,2.0,,6,186,0.00139999995008111,,1.067113464259753,,96.60738842355295
0,21.18275192584706,0.28,0.26,37,211.0,209.0,-2.0,,7,186,0.00139999995008111,,-0.16194228462186638,,96.9230528816102
2,20.74278198784994,0.26,0.26,37,211.0,211.0,0.0,,8,186,0.00139999995008111,,1.2685777004927643,,96.77303412926616
1,20.98077284399073,0.27,0.26,37,211.0,210.0,-1.0,,9,186,0.00139999995008111,,0.6413537197097331,,96.84804350543818
3,20.54236863531033,0.26,0.26,37,211.0,212.0,1.0,,10,186,0.00139999995008111,,1.1678862124550184,,96.70036879609951
4,20.341955282770716,0.26,0.26,37,211.0,213.0,2.0,,11,186,0.00139999995008111,,1.067113464259753,,96.60738842355295
0,21.18275192584706,0.28,0.26,37,211.0,209.0,-2.0,,12,186,0.00139999995008111,,-0.16194228462186638,,96.9230528816102
0,21.18275192584706,0.28,0.26,37,211.0,209.0,-2.0,,13,186,0.00139999995008111,,-0.16194228462186638,,96.9230528816102
2,20.74278198784994,0.26,0.26,37,211.0,211.0,0.0,,14,186,0.00139999995008111,,1.2685777004927643,,96.77303412926616
1,20.98077284399073,0.27,0.26,37,211.0,210.0,-1.0,,15,186,0.00139999995008111,,0.6413537197097331,,96.84804350543818
2,20.74278198784994,0.26,0.26,37,211.0,211.0,0.0,1,3,186,0.00139999995008111,1.2685777004927643,1.2685776948928833,0,96.77303412926616
0,21.18275192584706,0.22,0.21,37,211.0,209.0,-2.0,,0,187,0.000699999975040555,,-0.01794228462186502,,96.9230528816102
4,20.341955282770716,0.21,0.21,37,211.0,213.0,2.0,,1,187,0.000699999975040555,,-0.37288653574024705,,96.60738842355295
1,20.98077284399073,0.21,0.21,37,211.0,210.0,-1.0,,2,187,0.000699999975040555,,-0.27064628029026616,,96.84804350543818
1,20.98077284399073,0.21,0.21,37,211.0,210.0,-1.0,,3,187,0.000699999975040555,,-0.27064628029026616,,96.84804350543818
0,21.18275192584706,0.22,0.21,37,211.0,209.0,-2.0,,4,187,0.000699999975040555,,-0.01794228462186502,,96.9230528816102
2,20.74278198784994,0.21,0.21,37,211.0,211.0,0.0,,5,187,0.000699999975040555,,-0.17142229950723575,,96.77303412926616
3,20.54236863531033,0.21,0.21,37,211.0,212.0,1.0,,6,187,0.000699999975040555,,-0.2721137875449816,,96.70036879609951
4,20.341955282770716,0.21,0.21,37,211.0,213.0,2.0,,7,187,0.000699999975040555,,-0.37288653574024705,,96.60738842355295
2,20.74278198784994,0.21,0.21,37,211.0,211.0,0.0,,8,187,0.000699999975040555,,-0.17142229950723575,,96.77303412926616
2,20.74278198784994,0.21,0.21,37,211.0,211.0,0.0,,9,187,0.000699999975040555,,-0.17142229950723575,,96.77303412926616
4,20.341955282770716,0.21,0.21,37,211.0,213.0,2.0,,10,187,0.000699999975040555,,-0.37288653574024705,,96.60738842355295
1,20.98077284399073,0.21,0.21,37,211.0,210.0,-1.0,,11,187,0.000699999975040555,,-0.27064628029026616,,96.84804350543818
3,20.54236863531033,0.21,0.21,37,211.0,212.0,1.0,,12,187,0.000699999975040555,,-0.2721137875449816,,96.70036879609951
4,20.341955282770716,0.21,0.21,37,211.0,213.0,2.0,,13,187,0.000699999975040555,,-0.37288653574024705,,96.60738842355295
1,20.98077284399073,0.21,0.21,37,211.0,210.0,-1.0,,14,187,0.000699999975040555,,-0.27064628029026616,,96.84804350543818
4,20.341955282770716,0.21,0.21,37,211.0,213.0,2.0,,15,187,0.000699999975040555,,-0.37288653574024705,,96.60738842355295
0,21.18275192584706,0.22,0.21,37,211.0,209.0,-2.0,1,0,187,0.000699999975040555,-0.01794228462186502,-0.017942285165190697,1,96.9230528816102
3,20.98077284399073,0.19,0.19,37,209.0,210.0,1.0,,0,188,0.0006000000284984708,,-1.0706462802902659,,96.84804350543818
4,20.74278198784994,0.19,0.19,37,209.0,211.0,2.0,,1,188,0.0006000000284984708,,-1.1714222995072354,,96.77303412926616
4,20.74278198784994,0.19,0.19,37,209.0,211.0,2.0,,2,188,0.0006000000284984708,,-1.1714222995072354,,96.77303412926616
3,20.98077284399073,0.19,0.19,37,209.0,210.0,1.0,,3,188,0.0006000000284984708,,-1.0706462802902659,,96.84804350543818
0,21.62585332247761,0.2,0.19,37,209.0,207.0,-2.0,,4,188,0.0006000000284984708,,-0.8163809974430554,,97.09182397799725
2,21.18275192584706,0.19,0.19,37,209.0,209.0,0.0,,5,188,0.0006000000284984708,,-0.9699422846218648,,96.9230528816102
0,21.62585332247761,0.2,0.19,37,209.0,207.0,-2.0,,6,188,0.0006000000284984708,,-0.8163809974430554,,97.09182397799725
3,20.98077284399073,0.19,0.19,37,209.0,210.0,1.0,,7,188,0.0006000000284984708,,-1.0706462802902659,,96.84804350543818
3,20.98077284399073,0.19,0.19,37,209.0,210.0,1.0,,8,188,0.0006000000284984708,,-1.0706462802902659,,96.84804350543818
0,21.62585332247761,0.2,0.19,37,209.0,207.0,-2.0,,9,188,0.0006000000284984708,,-0.8163809974430554,,97.09182397799725
4,20.74278198784994,0.19,0.19,37,209.0,211.0,2.0,,10,188,0.0006000000284984708,,-1.1714222995072354,,96.77303412926616
3,20.98077284399073,0.19,0.19,37,209.0,210.0,1.0,,11,188,0.0006000000284984708,,-1.0706462802902659,,96.84804350543818
0,21.62585332247761,0.2,0.19,37,209.0,207.0,-2.0,,12,188,0.0006000000284984708,,-0.8163809974430554,,97.09182397799725
3,20.98077284399073,0.19,0.19,37,209.0,210.0,1.0,,13,188,0.0006000000284984708,,-1.0706462802902659,,96.84804350543818
2,21.18275192584706,0.19,0.19,37,209.0,209.0,0.0,,14,188,0.0006000000284984708,,-0.9699422846218648,,96.9230528816102
0,21.62585332247761,0.2,0.19,37,209.0,207.0,-2.0,,15,188,0.0006000000284984708,,-0.8163809974430554,,97.09182397799725
0,21.62585332247761,0.2,0.19,37,209.0,207.0,-2.0,1,4,188,0.0006000000284984708,-0.8163809974430554,-0.8163809776306152,1,97.09182397799725
4,21.18275192584706,0.2,0.2,37,207.0,209.0,2.0,,0,189,0.0007999999797903001,,-0.7699422846218644,,96.9230528816102
1,21.83879250955095,0.2,0.2,37,207.0,206.0,-1.0,,1,189,0.0007999999797903001,,-0.6676425800015252,,97.1699587448431
0,22.06582326047473,0.21,0.2,37,207.0,205.0,-2.0,,2,189,0.0007999999797903001,,-0.41487285404162094,,97.24887485935741
1,21.83879250955095,0.2,0.2,37,207.0,206.0,-1.0,,3,189,0.0007999999797903001,,-0.6676425800015252,,97.1699587448431
0,22.06582326047473,0.21,0.2,37,207.0,205.0,-2.0,,4,189,0.0007999999797903001,,-0.41487285404162094,,97.24887485935741
0,22.06582326047473,0.21,0.2,37,207.0,205.0,-2.0,,5,189,0.0007999999797903001,,-0.41487285404162094,,97.24887485935741
4,21.18275192584706,0.2,0.2,37,207.0,209.0,2.0,,6,189,0.0007999999797903001,,-0.7699422846218644,,96.9230528816102
2,21.62585332247761,0.2,0.2,37,207.0,207.0,0.0,,7,189,0.0007999999797903001,,-0.5683809974430554,,97.09182397799725
1,21.83879250955095,0.2,0.2,37,207.0,206.0,-1.0,,8,189,0.0007999999797903001,,-0.6676425800015252,,97.1699587448431
3,21.37690236111981,0.2,0.2,37,207.0,208.0,1.0,,9,189,0.0007999999797903001,,-0.6692039399958497,,97.01056382047756
2,21.62585332247761,0.2,0.2,37,207.0,207.0,0.0,,10,189,0.0007999999797903001,,-0.5683809974430554,,97.09182397799725
0,22.06582326047473,0.21,0.2,37,207.0,205.0,-2.0,,11,189,0.0007999999797903001,,-0.41487285404162094,,97.24887485935741
2,21.62585332247761,0.2,0.2,37,207.0,207.0,0.0,,12,189,0.0007999999797903001,,-0.5683809974430554,,97.09182397799725
2,21.62585332247761,0.2,0.2,37,207.0,207.0,0.0,,13,189,0.0007999999797903001,,-0.5683809974430554,,97.09182397799725
4,21.18275192584706,0.2,0.2,37,207.0,209.0,2.0,,14,189,0.0007999999797903001,,-0.7699422846218644,,96.9230528816102
2,21.62585332247761,0.2,0.2,37,207.0,207.0,0.0,,15,189,0.0007999999797903001,,-0.5683809974430554,,97.09182397799725
0,22.06582326047473,0.21,0.2,37,207.0,205.0,-2.0,1,2,189,0.0007999999797903001,-0.41487285404162094,-0.4148728549480438,1,97.24887485935741
4,21.62585332247761,0.23,0.23,38,205.0,207.0,2.0,,0,190,0.0010000000474974513,,0.591618638978133,,97.09173308329426
4,21.62585332247761,0.23,0.23,38,205.0,207.0,2.0,,1,190,0.0010000000474974513,,0.591618638978133,,97.09173308329426
3,21.83879250955095,0.23,0.23,38,205.0,206.0,1.0,,2,190,0.0010000000474974513,,0.6923570661880353,,97.16987029223316
0,22.513621845055425,0.23,0.23,38,205.0,203.0,-2.0,,3,190,0.0010000000474974513,,0.5946287439245233,,97.4003750586029
3,21.83879250955095,0.23,0.23,38,205.0,206.0,1.0,,4,190,0.0010000000474974513,,0.6923570661880353,,97.16987029223316
3,21.83879250955095,0.23,0.23,38,205.0,206.0,1.0,,5,190,0.0010000000474974513,,0.6923570661880353,,97.16987029223316
3,21.83879250955095,0.23,0.23,38,205.0,206.0,1.0,,6,190,0.0010000000474974513,,0.6923570661880353,,97.16987029223316
3,21.83879250955095,0.23,0.23,38,205.0,206.0,1.0,,7,190,0.0010000000474974513,,0.6923570661880353,,97.16987029223316
3,21.83879250955095,0.23,0.23,38,205.0,206.0,1.0,,8,190,0.0010000000474974513,,0.6923570661880353,,97.16987029223316
1,22.261539425064196,0.23,0.23,38,205.0,204.0,-1.0,,9,190,0.0010000000474974513,,0.6938182812255003,,97.32380059384279
3,21.83879250955095,0.23,0.23,38,205.0,206.0,1.0,,10,190,0.0010000000474974513,,0.6923570661880353,,97.16987029223316
1,22.261539425064196,0.23,0.23,38,205.0,204.0,-1.0,,11,190,0.0010000000474974513,,0.6938182812255003,,97.32380059384279
2,22.06582326047473,0.23,0.23,38,205.0,205.0,0.0,,12,190,0.0010000000474974513,,0.7931268020139959,,97.24878887326145
2,22.06582326047473,0.23,0.23,38,205.0,205.0,0.0,,13,190,0.0010000000474974513,,0.7931268020139959,,97.24878887326145
0,22.513621845055425,0.23,0.23,38,205.0,203.0,-2.0,,14,190,0.0010000000474974513,,0.5946287439245233,,97.4003750586029
1,22.261539425064196,0.23,0.23,38,205.0,204.0,-1.0,,15,190,0.0010000000474974513,,0.6938182812255003,,97.32380059384279
2,22.06582326047473,0.23,0.23,38,205.0,205.0,0.0,1,12,190,0.0010000000474974513,0.7931268020139959,0.7931268215179443,0,97.24878887326145
1,22.261539425064196,0.2,0.18,38,205.0,204.0,-1.0,,0,191,0.0010000000474974513,,-0.8581817187745002,,97.32380059384279
2,22.06582326047473,0.18,0.18,38,205.0,205.0,0.0,,1,191,0.0010000000474974513,,-1.366873197986005,,97.24878887326145
3,21.83879250955095,0.17,0.18,38,205.0,206.0,1.0,,2,191,0.0010000000474974513,,-1.9156429338119647,,97.16987029223316
0,22.513621845055425,0.2,0.18,38,205.0,203.0,-2.0,,3,191,0.0010000000474974513,,-0.9573712560754775,,97.4003750586029
0,22.513621845055425,0.2,0.18,38,205.0,203.0,-2.0,,4,191,0.0010000000474974513,,-0.9573712560754775,,97.4003750586029
2,22.06582326047473,0.18,0.18,38,205.0,205.0,0.0,,5,191,0.0010000000474974513,,-1.366873197986005,,97.24878887326145
2,22.06582326047473,0.18,0.18,38,205.0,205.0,0.0,,6,191,0.0010000000474974513,,-1.366873197986005,,97.24878887326145
0,22.513621845055425,0.2,0.18,38,205.0,203.0,-2.0,,7,191,0.0010000000474974513,,-0.9573712560754775,,97.4003750586029
3,21.83879250955095,0.17,0.18,38,205.0,206.0,1.0,,8,191,0.0010000000474974513,,-1.9156429338119647,,97.16987029223316
1,22.261539425064196,0.2,0.18,38,205.0,204.0,-1.0,,9,191,0.0010000000474974513,,-0.8581817187745002,,97.32380059384279
3,21.83879250955095,0.17,0.18,38,205.0,206.0,1.0,,10,191,0.0010000000474974513,,-1.9156429338119647,,97.16987029223316
2,22.06582326047473,0.18,0.18,38,205.0,205.0,0.0,,11,191,0.0010000000474974513,,-1.366873197986005,,97.24878887326145
4,21.62585332247761,0.17,0.18,38,205.0,207.0,2.0,,12,191,0.0010000000474974513,,-2.0163813610218666,,97.09173308329426
1,22.261539425064196,0.2,0.18,38,205.0,204.0,-1.0,,13,191,0.0010000000474974513,,-0.8581817187745002,,97.32380059384279
0,22.513621845055425,0.2,0.18,38,205.0,203.0,-2.0,,14,191,0.0010000000474974513,,-0.9573712560754775,,97.4003750586029
1,22.261539425064196,0.2,0.18,38,205.0,204.0,-1.0,,15,191,0.0010000000474974513,,-0.8581817187745002,,97.32380059384279
1,22.513621845055425,0.2,0.18,38,205.0,203.0,-2.0,1,0,191,0.0010000000474974513,-0.9573712560754775,-0.8581817150115967,1,97.4003750586029
3,22.261539425064196,0.42,0.43,38,203.0,204.0,1.0,,0,192,0.002300000051036477,,-5.514181718774499,,97.32380059384279
3,22.261539425064196,0.42,0.43,38,203.0,204.0,1.0,,1,192,0.002300000051036477,,-5.514181718774499,,97.32380059384279
4,22.06582326047473,0.4,0.43,38,203.0,205.0,2.0,,2,192,0.002300000051036477,,-5.198873197986005,,97.24878887326145
2,22.513621845055425,0.43,0.43,38,203.0,203.0,0.0,,3,192,0.002300000051036477,,-5.765371256075476,,97.4003750586029
1,22.748481242562786,0.43,0.43,38,203.0,202.0,-1.0,,4,192,0.002300000051036477,,-5.864607741374852,,97.47382403500546
1,22.748481242562786,0.43,0.43,38,203.0,202.0,-1.0,,5,192,0.002300000051036477,,-5.864607741374852,,97.47382403500546
2,22.513621845055425,0.43,0.43,38,203.0,203.0,0.0,,6,192,0.002300000051036477,,-5.765371256075476,,97.4003750586029
1,22.748481242562786,0.43,0.43,38,203.0,202.0,-1.0,,7,192,0.002300000051036477,,-5.864607741374852,,97.47382403500546
4,22.06582326047473,0.4,0.43,38,203.0,205.0,2.0,,8,192,0.002300000051036477,,-5.198873197986005,,97.24878887326145
0,22.988037828020293,0.43,0.43,38,203.0,201.0,-2.0,,9,192,0.002300000051036477,,-5.963878589135333,,97.53633380215659
3,22.261539425064196,0.42,0.43,38,203.0,204.0,1.0,,10,192,0.002300000051036477,,-5.514181718774499,,97.32380059384279
2,22.513621845055425,0.43,0.43,38,203.0,203.0,0.0,,11,192,0.002300000051036477,,-5.765371256075476,,97.4003750586029
4,22.06582326047473,0.4,0.43,38,203.0,205.0,2.0,,12,192,0.002300000051036477,,-5.198873197986005,,97.24878887326145
4,22.06582326047473,0.4,0.43,38,203.0,205.0,2.0,,13,192,0.002300000051036477,,-5.198873197986005,,97.24878887326145
2,22.513621845055425,0.43,0.43,38,203.0,203.0,0.0,,14,192,0.002300000051036477,,-5.765371256075476,,97.4003750586029
2,22.513621845055425,0.43,0.43,38,203.0,203.0,0.0,,15,192,0.002300000051036477,,-5.765371256075476,,97.4003750586029
4,22.06582326047473,0.4,0.43,38,203.0,205.0,2.0,1,2,192,0.002300000051036477,-5.198873197986005,-5.198873043060303,1,97.24878887326145
2,22.06582326047473,0.22,0.22,38,205.0,205.0,0.0,,0,193,0.0010000000474974513,,0.23312680201399533,,97.24878887326145
3,21.83879250955095,0.21,0.22,38,205.0,206.0,1.0,,1,193,0.0010000000474974513,,-0.3156429338119659,,97.16987029223316
4,21.62585332247761,0.2,0.22,38,205.0,207.0,2.0,,2,193,0.0010000000474974513,,-0.9603813610218671,,97.09173308329426
4,21.62585332247761,0.2,0.22,38,205.0,207.0,2.0,,3,193,0.0010000000474974513,,-0.9603813610218671,,97.09173308329426
0,22.513621845055425,0.23,0.22,38,205.0,203.0,-2.0,,4,193,0.0010000000474974513,,0.5466287439245232,,97.4003750586029
2,22.06582326047473,0.22,0.22,38,205.0,205.0,0.0,,5,193,0.0010000000474974513,,0.23312680201399533,,97.24878887326145
1,22.261539425064196,0.22,0.22,38,205.0,204.0,-1.0,,6,193,0.0010000000474974513,,0.13381828122549963,,97.32380059384279
3,21.83879250955095,0.21,0.22,38,205.0,206.0,1.0,,7,193,0.0010000000474974513,,-0.3156429338119659,,97.16987029223316
2,22.06582326047473,0.22,0.22,38,205.0,205.0,0.0,,8,193,0.0010000000474974513,,0.23312680201399533,,97.24878887326145
3,21.83879250955095,0.21,0.22,38,205.0,206.0,1.0,,9,193,0.0010000000474974513,,-0.3156429338119659,,97.16987029223316
0,22.513621845055425,0.23,0.22,38,205.0,203.0,-2.0,,10,193,0.0010000000474974513,,0.5466287439245232,,97.4003750586029
3,21.83879250955095,0.21,0.22,38,205.0,206.0,1.0,,11,193,0.0010000000474974513,,-0.3156429338119659,,97.16987029223316
1,22.261539425064196,0.22,0.22,38,205.0,204.0,-1.0,,12,193,0.0010000000474974513,,0.13381828122549963,,97.32380059384279
1,22.261539425064196,0.22,0.22,38,205.0,204.0,-1.0,,13,193,0.0010000000474974513,,0.13381828122549963,,97.32380059384279
2,22.06582326047473,0.22,0.22,38,205.0,205.0,0.0,,14,193,0.0010000000474974513,,0.23312680201399533,,97.24878887326145
1,22.261539425064196,0.22,0.22,38,205.0,204.0,-1.0,,15,193,0.0010000000474974513,,0.13381828122549963,,97.32380059384279
0,22.513621845055425,0.23,0.22,38,205.0,203.0,-2.0,1,4,193,0.0010000000474974513,0.5466287439245232,0.5466287732124329,1,97.4003750586029
3,22.261539425064196,0.24,0.24,38,203.0,204.0,1.0,,0,194,0.0010999999940395355,,1.1738182812254991,,97.32380059384279
2,22.513621845055425,0.24,0.24,38,203.0,203.0,0.0,,1,194,0.0010999999940395355,,1.2746287439245223,,97.4003750586029
4,22.06582326047473,0.24,0.24,38,203.0,205.0,2.0,,2,194,0.0010999999940395355,,1.073126802013995,,97.24878887326145
3,22.261539425064196,0.24,0.24,38,203.0,204.0,1.0,,3,194,0.0010999999940395355,,1.1738182812254991,,97.32380059384279
0,22.988037828020293,0.26,0.24,38,203.0,201.0,-2.0,,4,194,0.0010999999940395355,,0.8841214108646662,,97.53633380215659
3,22.261539425064196,0.24,0.24,38,203.0,204.0,1.0,,5,194,0.0010999999940395355,,1.1738182812254991,,97.32380059384279
2,22.513621845055425,0.24,0.24,38,203.0,203.0,0.0,,6,194,0.0010999999940395355,,1.2746287439245223,,97.4003750586029
0,22.988037828020293,0.26,0.24,38,203.0,201.0,-2.0,,7,194,0.0010999999940395355,,0.8841214108646662,,97.53633380215659
1,22.748481242562786,0.24,0.24,38,203.0,202.0,-1.0,,8,194,0.0010999999940395355,,1.175392258625147,,97.47382403500546
1,22.748481242562786,0.24,0.24,38,203.0,202.0,-1.0,,9,194,0.0010999999940395355,,1.175392258625147,,97.47382403500546
1,22.748481242562786,0.24,0.24,38,203.0,202.0,-1.0,,10,194,0.0010999999940395355,,1.175392258625147,,97.47382403500546
2,22.513621845055425,0.24,0.24,38,203.0,203.0,0.0,,11,194,0.0010999999940395355,,1.2746287439245223,,97.4003750586029
3,22.261539425064196,0.24,0.24,38,203.0,204.0,1.0,,12,194,0.0010999999940395355,,1.1738182812254991,,97.32380059384279
2,22.513621845055425,0.24,0.24,38,203.0,203.0,0.0,,13,194,0.0010999999940395355,,1.2746287439245223,,97.4003750586029
0,22.988037828020293,0.26,0.24,38,203.0,201.0,-2.0,,14,194,0.0010999999940395355,,0.8841214108646662,,97.53633380215659
3,22.261539425064196,0.24,0.24,38,203.0,204.0,1.0,,15,194,0.0010999999940395355,,1.1738182812254991,,97.32380059384279
2,22.513621845055425,0.24,0.24,38,203.0,203.0,0.0,1,1,194,0.0010999999940395355,1.2746287439245223,1.274628758430481,0,97.4003750586029
4,22.06582326047473,0.3,0.33,39,203.0,205.0,2.0,,0,195,0.0015999999595806003,,-1.1988732839754603,,97.24876737589761
2,22.513621845055425,0.33,0.33,39,203.0,203.0,0.0,,1,195,0.0015999999595806003,,-1.7653713373270878,,97.40035474570047
3,22.261539425064196,0.3,0.33,39,203.0,204.0,1.0,,2,195,0.0015999999595806003,,-1.0981818024194552,,97.32377968260418
