a,aa_after,bg_after,bg_before,chunk,cut_before,cut_next,delta,executed,k,micro,occ_mid,reward_best_sample,reward_exec,reward_raw,shielded,tt_after
2,16.950314566865625,0.27,0.27,0,151.16253761291503,151.16253761291503,0.0,,3,3,9.999999747378752e-05,,,0.7543382767776441,,90.1094119109785
0,17.188256170350055,0.28,0.27,0,151.16253761291503,149.66253761291503,-1.5,,4,3,9.999999747378752e-05,,,-0.05203369943765905,,90.3974470554105
2,16.950314566865625,0.27,0.27,0,151.16253761291503,151.16253761291503,0.0,,5,3,9.999999747378752e-05,,,0.7543382767776441,,90.1094119109785
2,16.950314566865625,0.27,0.27,0,151.16253761291503,151.16253761291503,0.0,,6,3,9.999999747378752e-05,,,0.7543382767776441,,90.1094119109785
1,17.07533473140829,0.28,0.27,0,151.16253761291503,150.41253761291503,-0.75,,7,3,9.999999747378752e-05,,,0.047234842035238686,,90.2710431431058
1,17.07533473140829,0.28,0.27,0,151.16253761291503,150.41253761291503,-0.75,,8,3,9.999999747378752e-05,,,0.047234842035238686,,90.2710431431058
3,16.84949185352476,0.26,0.27,0,151.16253761291503,151.91253761291503,0.75,,9,3,9.999999747378752e-05,,,1.0854735288601844,,89.94363628828381
1,17.07533473140829,0.28,0.27,0,151.16253761291503,150.41253761291503,-0.75,,10,3,9.999999747378752e-05,,,0.047234842035238686,,90.2710431431058
1,17.07533473140829,0.28,0.27,0,151.16253761291503,150.41253761291503,-0.75,,11,3,9.999999747378752e-05,,,0.047234842035238686,,90.2710431431058
3,16.84949185352476,0.26,0.27,0,151.16253761291503,151.91253761291503,0.75,,12,3,9.999999747378752e-05,,,1.0854735288601844,,89.94363628828381
3,16.84949185352476,0.26,0.27,0,151.16253761291503,151.91253761291503,0.75,,13,3,9.999999747378752e-05,,,1.0854735288601844,,89.94363628828381
1,17.07533473140829,0.28,0.27,0,151.16253761291503,150.41253761291503,-0.75,,14,3,9.999999747378752e-05,,,0.047234842035238686,,90.2710431431058
